fecha,cierre
2006-10-31,2366.71
2006-11-01,2334.35
2006-11-02,2334.02
2006-11-03,2330.79
2006-11-06,2365.95
2006-11-07,2375.88
2006-11-08,2384.94
2006-11-09,2376.01
2006-11-10,2389.72
2006-11-13,2406.38
2006-11-14,2430.66
2006-11-15,2442.75
2006-11-16,2449.06
2006-11-17,2445.86
2006-11-20,2452.72
2006-11-21,2454.84
2006-11-22,2465.98
2006-11-24,2460.26
2006-11-27,2405.92
2006-11-28,2412.61
2006-11-29,2432.23
2006-11-30,2431.77
2006-12-01,2413.21
2006-12-04,2448.39
2006-12-05,2452.38
2006-12-06,2445.86
2006-12-07,2427.69
2006-12-08,2437.36
2006-12-11,2442.86
2006-12-12,2431.6
2006-12-13,2432.41
2006-12-14,2453.85
2006-12-15,2457.2
2006-12-18,2435.57
2006-12-19,2429.55
2006-12-20,2427.61
2006-12-21,2415.85
2006-12-22,2401.18
2006-12-26,2413.51
2006-12-27,2431.22
2006-12-28,2425.57
2006-12-29,2415.29
2007-01-03,2423.16
2007-01-04,2453.43
2007-01-05,2434.25
2007-01-08,2438.2
2007-01-09,2443.83
2007-01-10,2459.33
2007-01-11,2484.85
2007-01-12,2502.82
2007-01-16,2497.78
2007-01-17,2479.42
2007-01-18,2443.21
2007-01-19,2451.31
2007-01-22,2431.07
2007-01-23,2431.41
2007-01-24,2466.28
2007-01-25,2434.24
2007-01-26,2435.49
2007-01-29,2441.09
2007-01-30,2448.64
2007-01-31,2463.93
2007-02-01,2468.38
2007-02-02,2475.88
2007-02-05,2470.6
2007-02-06,2471.49
2007-02-07,2490.5
2007-02-08,2488.67
2007-02-09,2459.82
2007-02-12,2450.38
2007-02-13,2459.88
2007-02-14,2488.38
2007-02-15,2497.1
2007-02-16,2496.31
2007-02-20,2513.04
2007-02-21,2518.42
2007-02-22,2524.94
2007-02-23,2515.1
2007-02-26,2504.52
2007-02-27,2407.86
2007-02-28,2416.15
2007-03-01,2404.21
2007-03-02,2368
2007-03-05,2340.68
2007-03-06,2385.14
2007-03-07,2374.64
2007-03-08,2387.73
2007-03-09,2387.55
2007-03-12,2402.29
2007-03-13,2350.57
2007-03-14,2371.74
2007-03-15,2378.7
2007-03-16,2372.66
2007-03-19,2394.41
2007-03-20,2408.21
2007-03-21,2455.92
2007-03-22,2451.74
2007-03-23,2448.93
2007-03-26,2455.63
2007-03-27,2437.43
2007-03-28,2417.1
2007-03-29,2417.88
2007-03-30,2421.64
2007-04-02,2422.26
2007-04-03,2450.33
2007-04-04,2458.69
2007-04-05,2471.34
2007-04-09,2469.18
2007-04-10,2477.61
2007-04-11,2459.31
2007-04-12,2480.32
2007-04-13,2491.94
2007-04-16,2518.33
2007-04-17,2516.95
2007-04-18,2510.5
2007-04-19,2505.35
2007-04-20,2526.39
2007-04-23,2523.67
2007-04-24,2524.54
2007-04-25,2547.89
2007-04-26,2554.46
2007-04-27,2557.21
2007-04-30,2525.09
2007-05-01,2531.53
2007-05-02,2557.84
2007-05-03,2565.46
2007-05-04,2572.15
2007-05-07,2570.95
2007-05-08,2571.75
2007-05-09,2576.34
2007-05-10,2533.74
2007-05-11,2562.22
2007-05-14,2546.44
2007-05-15,2525.29
2007-05-16,2547.42
2007-05-17,2539.38
2007-05-18,2558.45
2007-05-21,2578.79
2007-05-22,2588.02
2007-05-23,2577.05
2007-05-24,2537.92
2007-05-25,2557.19
2007-05-29,2572.06
2007-05-30,2592.59
2007-05-31,2604.52
2007-06-01,2613.92
2007-06-04,2618.29
2007-06-05,2611.23
2007-06-06,2587.18
2007-06-07,2541.38
2007-06-08,2573.54
2007-06-11,2572.15
2007-06-12,2549.77
2007-06-13,2582.31
2007-06-14,2599.41
2007-06-15,2626.71
2007-06-18,2626.6
2007-06-19,2626.76
2007-06-20,2599.96
2007-06-21,2616.96
2007-06-22,2588.96
2007-06-25,2577.08
2007-06-26,2574.16
2007-06-27,2605.35
2007-06-28,2608.37
2007-06-29,2603.23
2007-07-02,2632.3
2007-07-03,2644.95
2007-07-05,2656.65
2007-07-06,2666.51
2007-07-09,2670.02
2007-07-10,2639.16
2007-07-11,2651.79
2007-07-12,2701.73
2007-07-13,2707
2007-07-16,2697.33
2007-07-17,2712.29
2007-07-18,2699.49
2007-07-19,2720.04
2007-07-20,2687.6
2007-07-23,2690.58
2007-07-24,2639.86
2007-07-25,2648.17
2007-07-26,2599.34
2007-07-27,2562.24
2007-07-30,2583.28
2007-07-31,2546.27
2007-08-01,2553.87
2007-08-02,2575.98
2007-08-03,2511.25
2007-08-06,2547.33
2007-08-07,2561.6
2007-08-08,2612.98
2007-08-09,2556.49
2007-08-10,2544.89
2007-08-13,2542.24
2007-08-14,2499.12
2007-08-15,2458.83
2007-08-16,2451.07
2007-08-17,2505.03
2007-08-20,2508.59
2007-08-21,2521.3
2007-08-22,2552.8
2007-08-23,2541.7
2007-08-24,2576.69
2007-08-27,2561.25
2007-08-28,2500.64
2007-08-29,2563.16
2007-08-30,2565.3
2007-08-31,2596.36
2007-09-04,2630.24
2007-09-05,2605.95
2007-09-06,2614.32
2007-09-07,2565.7
2007-09-10,2559.11
2007-09-11,2597.47
2007-09-12,2592.07
2007-09-13,2601.06
2007-09-14,2602.18
2007-09-17,2581.66
2007-09-18,2651.66
2007-09-19,2666.48
2007-09-20,2654.29
2007-09-21,2671.22
2007-09-24,2667.95
2007-09-25,2683.45
2007-09-26,2699.03
2007-09-27,2709.59
2007-09-28,2701.5
2007-10-01,2740.99
2007-10-02,2747.11
2007-10-03,2729.43
2007-10-04,2733.57
2007-10-05,2780.32
2007-10-08,2787.37
2007-10-09,2803.91
2007-10-10,2811.61
2007-10-11,2772.2
2007-10-12,2805.68
2007-10-15,2780.05
2007-10-16,2763.91
2007-10-17,2792.67
2007-10-18,2799.31
2007-10-19,2725.16
2007-10-22,2753.93
2007-10-23,2799.26
2007-10-24,2774.76
2007-10-25,2750.86
2007-10-26,2804.19
2007-10-29,2817.44
2007-10-30,2816.71
2007-10-31,2859.12
2007-11-01,2794.83
2007-11-02,2810.38
2007-11-05,2795.18
2007-11-06,2825.18
2007-11-07,2748.76
2007-11-08,2696
2007-11-09,2627.94
2007-11-12,2584.13
2007-11-13,2673.65
2007-11-14,2644.32
2007-11-15,2618.51
2007-11-16,2637.24
2007-11-19,2593.38
2007-11-20,2596.81
2007-11-21,2562.15
2007-11-23,2596.6
2007-11-26,2540.99
2007-11-27,2580.8
2007-11-28,2662.91
2007-11-29,2668.13
2007-11-30,2660.96
2007-12-03,2637.13
2007-12-04,2619.83
2007-12-05,2666.36
2007-12-06,2709.03
2007-12-07,2706.16
2007-12-10,2718.95
2007-12-11,2652.35
2007-12-12,2671.14
2007-12-13,2668.49
2007-12-14,2635.74
2007-12-17,2574.46
2007-12-18,2596.03
2007-12-19,2601.01
2007-12-20,2640.86
2007-12-21,2691.99
2007-12-24,2713.5
2007-12-26,2724.41
2007-12-27,2676.79
2007-12-28,2674.46
2007-12-31,2652.28
2008-01-02,2609.63
2008-01-03,2602.68
2008-01-04,2504.65
2008-01-07,2499.46
2008-01-08,2440.51
2008-01-09,2474.55
2008-01-10,2488.52
2008-01-11,2439.94
2008-01-14,2478.3
2008-01-15,2417.59
2008-01-16,2394.59
2008-01-17,2346.9
2008-01-18,2340.02
2008-01-22,2292.27
2008-01-23,2316.41
2008-01-24,2360.92
2008-01-25,2326.2
2008-01-28,2349.91
2008-01-29,2358.06
2008-01-30,2349
2008-01-31,2389.86
2008-02-01,2413.36
2008-02-04,2382.85
2008-02-05,2309.57
2008-02-06,2278.75
2008-02-07,2293.03
2008-02-08,2304.85
2008-02-11,2320.06
2008-02-12,2320.04
2008-02-13,2373.93
2008-02-14,2332.54
2008-02-15,2321.8
2008-02-19,2306.2
2008-02-20,2327.1
2008-02-21,2299.78
2008-02-22,2303.35
2008-02-25,2327.48
2008-02-26,2344.99
2008-02-27,2353.78
2008-02-28,2331.57
2008-02-29,2271.48
2008-03-03,2258.6
2008-03-04,2260.28
2008-03-05,2272.81
2008-03-06,2220.5
2008-03-07,2212.49
2008-03-10,2169.34
2008-03-11,2255.76
2008-03-12,2243.87
2008-03-13,2263.61
2008-03-14,2212.49
2008-03-17,2177.01
2008-03-18,2268.26
2008-03-19,2209.96
2008-03-20,2258.11
2008-03-24,2326.75
2008-03-25,2341.05
2008-03-26,2324.36
2008-03-27,2280.83
2008-03-28,2261.18
2008-03-31,2279.1
2008-04-01,2362.75
2008-04-02,2361.4
2008-04-03,2363.3
2008-04-04,2370.98
2008-04-07,2364.83
2008-04-08,2348.76
2008-04-09,2322.12
2008-04-10,2351.7
2008-04-11,2290.24
2008-04-14,2275.82
2008-04-15,2286.04
2008-04-16,2350.11
2008-04-17,2341.83
2008-04-18,2402.97
2008-04-21,2408.04
2008-04-22,2376.94
2008-04-23,2405.21
2008-04-24,2428.92
2008-04-25,2422.93
2008-04-28,2424.4
2008-04-29,2426.1
2008-04-30,2412.8
2008-05-01,2480.71
2008-05-02,2476.99
2008-05-05,2464.12
2008-05-06,2483.31
2008-05-07,2438.49
2008-05-08,2451.24
2008-05-09,2445.52
2008-05-12,2488.49
2008-05-13,2495.12
2008-05-14,2496.7
2008-05-15,2533.73
2008-05-16,2528.85
2008-05-19,2516.09
2008-05-20,2492.26
2008-05-21,2448.27
2008-05-22,2464.58
2008-05-23,2444.67
2008-05-27,2481.24
2008-05-28,2486.7
2008-05-29,2508.32
2008-05-30,2522.66
2008-06-02,2491.53
2008-06-03,2480.48
2008-06-04,2503.14
2008-06-05,2549.94
2008-06-06,2474.56
2008-06-09,2459.46
2008-06-10,2448.94
2008-06-11,2394.01
2008-06-12,2404.35
2008-06-13,2454.5
2008-06-16,2474.78
2008-06-17,2457.73
2008-06-18,2429.71
2008-06-19,2462.06
2008-06-20,2406.09
2008-06-23,2385.74
2008-06-24,2368.28
2008-06-25,2401.26
2008-06-26,2321.37
2008-06-27,2315.63
2008-06-30,2292.98
2008-07-01,2304.97
2008-07-02,2251.46
2008-07-03,2245.38
2008-07-07,2243.32
2008-07-08,2294.44
2008-07-09,2234.89
2008-07-10,2257.85
2008-07-11,2239.08
2008-07-14,2212.87
2008-07-15,2215.71
2008-07-16,2284.85
2008-07-17,2312.3
2008-07-18,2282.78
2008-07-21,2279.53
2008-07-22,2303.96
2008-07-23,2325.88
2008-07-24,2280.11
2008-07-25,2310.53
2008-07-28,2264.22
2008-07-29,2319.62
2008-07-30,2329.72
2008-07-31,2325.55
2008-08-01,2310.96
2008-08-04,2285.56
2008-08-05,2349.83
2008-08-06,2378.37
2008-08-07,2355.73
2008-08-08,2414.1
2008-08-11,2439.95
2008-08-12,2430.61
2008-08-13,2428.62
2008-08-14,2453.67
2008-08-15,2452.52
2008-08-18,2416.98
2008-08-19,2384.36
2008-08-20,2389.08
2008-08-21,2380.38
2008-08-22,2414.71
2008-08-25,2365.59
2008-08-26,2361.97
2008-08-27,2382.46
2008-08-28,2411.64
2008-08-29,2367.52
2008-09-02,2349.24
2008-09-03,2333.73
2008-09-04,2259.04
2008-09-05,2255.88
2008-09-08,2269.76
2008-09-09,2209.81
2008-09-10,2228.7
2008-09-11,2258.22
2008-09-12,2261.27
2008-09-15,2179.91
2008-09-16,2207.9
2008-09-17,2098.85
2008-09-18,2199.1
2008-09-19,2273.9
2008-09-22,2178.98
2008-09-23,2153.33
2008-09-24,2155.68
2008-09-25,2186.57
2008-09-26,2183.34
2008-09-29,1983.73
2008-09-30,2082.33
2008-10-01,2069.4
2008-10-02,1976.72
2008-10-03,1947.39
2008-10-06,1862.96
2008-10-07,1754.88
2008-10-08,1740.33
2008-10-09,1645.12
2008-10-10,1649.51
2008-10-13,1844.25
2008-10-14,1779.01
2008-10-15,1628.33
2008-10-16,1717.71
2008-10-17,1711.29
2008-10-20,1770.03
2008-10-21,1696.68
2008-10-22,1615.75
2008-10-23,1603.91
2008-10-24,1552.03
2008-10-27,1505.9
2008-10-28,1649.47
2008-10-29,1657.21
2008-10-30,1698.52
2008-10-31,1720.95
2008-11-03,1726.33
2008-11-04,1780.12
2008-11-05,1681.64
2008-11-06,1608.7
2008-11-07,1647.4
2008-11-10,1616.74
2008-11-11,1580.9
2008-11-12,1499.21
2008-11-13,1596.7
2008-11-14,1516.85
2008-11-17,1482.05
2008-11-18,1483.27
2008-11-19,1386.42
2008-11-20,1316.12
2008-11-21,1384.35
2008-11-24,1472.02
2008-11-25,1464.73
2008-11-26,1532.1
2008-11-28,1535.57
2008-12-01,1398.07
2008-12-02,1449.8
2008-12-03,1492.38
2008-12-04,1445.56
2008-12-05,1509.31
2008-12-08,1571.74
2008-12-09,1547.34
2008-12-10,1565.48
2008-12-11,1507.88
2008-12-12,1540.72
2008-12-15,1508.34
2008-12-16,1589.89
2008-12-17,1579.31
2008-12-18,1552.37
2008-12-19,1564.32
2008-12-22,1532.35
2008-12-23,1521.54
2008-12-24,1524.9
2008-12-26,1530.24
2008-12-29,1510.32
2008-12-30,1550.7
2008-12-31,1577.03
2009-01-02,1632.21
2009-01-05,1628.03
2009-01-06,1652.38
2009-01-07,1599.06
2009-01-08,1617.01
2009-01-09,1571.59
2009-01-12,1538.79
2009-01-13,1546.46
2009-01-14,1489.64
2009-01-15,1511.84
2009-01-16,1529.33
2009-01-20,1440.86
2009-01-21,1507.07
2009-01-22,1465.49
2009-01-23,1477.29
2009-01-26,1489.46
2009-01-27,1504.9
2009-01-28,1558.34
2009-01-29,1507.84
2009-01-30,1476.42
2009-02-02,1494.43
2009-02-03,1516.3
2009-02-04,1515.05
2009-02-05,1546.24
2009-02-06,1591.71
2009-02-09,1591.56
2009-02-10,1524.73
2009-02-11,1530.5
2009-02-12,1541.71
2009-02-13,1534.36
2009-02-17,1470.66
2009-02-18,1467.97
2009-02-19,1442.82
2009-02-20,1441.23
2009-02-23,1387.72
2009-02-24,1441.83
2009-02-25,1425.43
2009-02-26,1391.47
2009-02-27,1377.84
2009-03-02,1322.85
2009-03-03,1321.01
2009-03-04,1353.74
2009-03-05,1299.59
2009-03-06,1293.85
2009-03-09,1268.64
2009-03-10,1358.28
2009-03-11,1371.64
2009-03-12,1426.1
2009-03-13,1431.5
2009-03-16,1404.02
2009-03-17,1462.11
2009-03-18,1491.22
2009-03-19,1483.48
2009-03-20,1457.27
2009-03-23,1555.77
2009-03-24,1518.05
2009-03-25,1528.95
2009-03-26,1587
2009-03-27,1545.2
2009-03-30,1501.8
2009-03-31,1528.59
2009-04-01,1551.6
2009-04-02,1602.63
2009-04-03,1621.87
2009-04-06,1606.71
2009-04-07,1561.61
2009-04-08,1590.66
2009-04-09,1652.54
2009-04-13,1653.31
